# DavinciArm telemetry export
# Points=2055
# Columns=t_rel_s,arm_angle_deg,ref_angle_deg,tracking_error_deg,motor_speed_deg_s,valid
# Decimals=6
# SortedByTime=true
#
t_rel_s,arm_angle_deg,ref_angle_deg,tracking_error_deg,motor_speed_deg_s,valid
0.000000,,,,12.672954,1
0.000000,180.068939,180.316288,0.247349,,1
0.000010,,180.316288,,,1
0.000012,179.983364,179.975968,-0.007396,,1
0.000012,,,,-3.302337,1
0.000015,,179.975968,,,1
0.000017,,,,-46.037642,1
0.000017,179.775883,180.666748,0.890866,,1
0.000020,,180.666748,,,1
0.000022,179.320714,183.278766,3.958052,,1
0.000022,,,,-143.239450,1
0.000024,,183.278766,,,1
0.000025,,,,-171.884370,1
0.000025,179.081189,176.847514,-2.233674,,1
0.000027,,176.847514,,,1
0.030685,179.942204,180.316288,0.374084,,1
0.030685,,,,-12.673233,1
0.030697,,180.316288,,,1
0.030698,180.016388,179.975968,-0.040420,,1
0.030698,,,,3.302348,1
0.030701,,179.975968,,,1
0.030703,180.236253,180.666748,0.430495,,1
0.030703,,,,46.037338,1
0.030706,,180.666748,,,1
0.030707,180.753071,183.278766,2.525695,,1
0.030707,,,,143.237592,1
0.030710,,183.278766,,,1
0.030711,180.800092,176.847514,-3.952578,,1
0.030711,,,,171.887341,1
0.030713,,176.847514,,,1
0.061144,180.068930,180.316288,0.247358,,1
0.061144,,,,12.672955,1
0.061159,,180.316288,,,1
0.061161,179.983364,179.975968,-0.007396,,1
0.061161,,,,-3.302340,1
0.061164,,179.975968,,,1
0.061165,179.775873,180.666748,0.890875,,1
0.061165,,,,-46.037649,1
0.061167,,180.666748,,,1
0.061169,,,,-143.239450,1
0.061169,179.320658,183.278766,3.958108,,1
0.061171,,183.278766,,,1
0.061173,179.081278,176.847514,-2.233764,,1
0.061173,,,,-171.884374,1
0.061176,,176.847514,,,1
0.089920,179.942195,180.316288,0.374093,,1
0.089920,,,,-12.673234,1
0.089934,,180.316288,,,1
0.089936,180.016388,179.975968,-0.040420,,1
0.089936,,,,3.302352,1
0.089939,,179.975968,,,1
0.089941,180.236244,180.666748,0.430505,,1
0.089941,,,,46.037345,1
0.089943,,180.666748,,,1
0.089944,,,,143.237595,1
0.089944,180.753015,183.278766,2.525751,,1
0.089947,,183.278766,,,1
0.089948,180.800181,176.847514,-3.952667,,1
0.089948,,,,171.887341,1
0.089950,,176.847514,,,1
0.120395,180.068922,180.316288,0.247366,,1
0.120395,,,,12.672956,1
0.120405,,180.316288,,,1
0.120407,179.983365,179.975968,-0.007397,,1
0.120407,,,,-3.302343,1
0.120411,,179.975968,,,1
0.120412,179.775864,180.666748,0.890884,,1
0.120412,,,,-46.037655,1
0.120414,,180.666748,,,1
0.120415,,,,-143.239450,1
0.120415,179.320602,183.278766,3.958164,,1
0.120418,,183.278766,,,1
0.120420,,,,-171.884379,1
0.120420,179.081367,176.847514,-2.233852,,1
0.120422,,176.847514,,,1
0.150644,179.942187,180.316288,0.374101,,1
0.150644,,,,-12.673235,1
0.150661,,180.316288,,,1
0.150667,180.016388,179.975968,-0.040420,,1
0.150667,,,,3.302355,1
0.150670,,179.975968,,,1
0.150673,180.236235,180.666748,0.430514,,1
0.150673,,,,46.037352,1
0.150676,,180.666748,,,1
0.150678,180.752960,183.278766,2.525806,,1
0.150678,,,,143.237598,1
0.150684,,183.278766,,,1
0.150686,180.800270,176.847514,-3.952755,,1
0.150686,,,,171.887341,1
0.150688,,176.847514,,,1
0.181306,180.068914,180.316288,0.247374,,1
0.181306,,,,12.672958,1
0.181317,,180.316288,,,1
0.181320,179.983365,179.975968,-0.007397,,1
0.181320,,,,-3.302347,1
0.181323,,179.975968,,,1
0.181325,179.775855,180.666748,0.890893,,1
0.181325,,,,-46.037662,1
0.181327,,180.666748,,,1
0.181328,179.320547,183.278766,3.958219,,1
0.181328,,,,-143.239450,1
0.181331,,183.278766,,,1
0.181333,,,,-171.884383,1
0.181333,179.081456,176.847514,-2.233941,,1
0.181335,,176.847514,,,1
0.211786,179.942178,180.316288,0.374110,,1
0.211786,,,,-12.673236,1
0.211807,,180.316288,,,1
0.211814,180.016389,179.975968,-0.040421,,1
0.211814,,,,3.302358,1
0.211821,,179.975968,,,1
0.211824,180.236225,180.666748,0.430523,,1
0.211824,,,,46.037360,1
0.211828,,180.666748,,,1
0.211831,180.752904,183.278766,2.525862,,1
0.211831,,,,143.237601,1
0.211838,,183.278766,,,1
0.211841,180.800358,176.847514,-3.952844,,1
0.211841,,,,171.887341,1
0.211845,,176.847514,,,1
0.242131,180.068905,180.316288,0.247383,,1
0.242131,,,,12.672959,1
0.242142,,180.316288,,,1
0.242145,179.983365,179.975968,-0.007397,,1
0.242145,,,,-3.302350,1
0.242150,,179.975968,,,1
0.242151,179.775846,180.666748,0.890903,,1
0.242151,,,,-46.037669,1
0.242153,,180.666748,,,1
0.242154,179.320491,183.278766,3.958275,,1
0.242154,,,,-143.239450,1
0.242157,,183.278766,,,1
0.242159,179.081544,176.847514,-2.234030,,1
0.242159,,,,-171.884388,1
0.242160,,176.847514,,,1
0.270605,,,,-12.673237,1
0.270605,179.942170,180.316288,0.374118,,1
0.270623,,180.316288,,,1
0.270625,180.016389,179.975968,-0.040421,,1
0.270625,,,,3.302361,1
0.270629,,179.975968,,,1
0.270631,180.236216,180.666748,0.430532,,1
0.270631,,,,46.037367,1
0.270633,,180.666748,,,1
0.270634,180.752849,183.278766,2.525917,,1
0.270634,,,,143.237604,1
0.270636,,183.278766,,,1
0.270638,180.800447,176.847514,-3.952933,,1
0.270638,,,,171.887341,1
0.270642,,176.847514,,,1
0.301111,,,,12.672960,1
0.301111,180.068897,180.316288,0.247391,,1
0.301128,,180.316288,,,1
0.301131,179.983366,179.975968,-0.007398,,1
0.301131,,,,-3.302353,1
0.301138,,179.975968,,,1
0.301141,179.775837,180.666748,0.890912,,1
0.301141,,,,-46.037676,1
0.301144,,180.666748,,,1
0.301147,179.320436,183.278766,3.958330,,1
0.301147,,,,-143.239450,1
0.301152,,183.278766,,,1
0.301155,179.081633,176.847514,-2.234118,,1
0.301155,,,,-171.884392,1
0.301160,,176.847514,,,1
0.331627,179.942162,180.316288,0.374126,,1
0.331627,,,,-12.673238,1
0.331650,,180.316288,,,1
0.331655,180.016389,179.975968,-0.040421,,1
0.331655,,,,3.302365,1
0.331660,,179.975968,,,1
0.331664,180.236207,180.666748,0.430541,,1
0.331664,,,,46.037374,1
0.331666,,180.666748,,,1
0.331667,180.752794,183.278766,2.525972,,1
0.331667,,,,143.237606,1
0.331670,,183.278766,,,1
0.331673,180.800536,176.847514,-3.953021,,1
0.331673,,,,171.887341,1
0.331679,,176.847514,,,1
0.361914,,,,12.672962,1
0.361914,180.068889,180.316288,0.247399,,1
0.361950,,180.316288,,,1
0.361952,179.983366,179.975968,-0.007398,,1
0.361952,,,,-3.302357,1
0.361957,,179.975968,,,1
0.361960,179.775827,180.666748,0.890921,,1
0.361960,,,,-46.037682,1
0.361962,,180.666748,,,1
0.361963,179.320381,183.278766,3.958385,,1
0.361963,,,,-143.239450,1
0.361966,,183.278766,,,1
0.361970,179.081721,176.847514,-2.234207,,1
0.361970,,,,-171.884397,1
0.361974,,176.847514,,,1
0.392240,,,,-12.673239,1
0.392240,179.942154,180.316288,0.374135,,1
0.392249,,180.316288,,,1
0.392251,,,,3.302368,1
0.392251,180.016390,179.975968,-0.040422,,1
0.392254,,179.975968,,,1
0.392258,180.236198,180.666748,0.430550,,1
0.392258,,,,46.037381,1
0.392260,,180.666748,,,1
0.392261,180.752738,183.278766,2.526028,,1
0.392261,,,,143.237609,1
0.392263,,183.278766,,,1
0.392264,180.800624,176.847514,-3.953110,,1
0.392264,,,,171.887341,1
0.392268,,176.847514,,,1
0.422675,180.068880,180.316288,0.247408,,1
0.422675,,,,12.672963,1
0.422687,,180.316288,,,1
0.422689,179.983366,179.975968,-0.007398,,1
0.422689,,,,-3.302360,1
0.422692,,179.975968,,,1
0.422694,179.775818,180.666748,0.890930,,1
0.422694,,,,-46.037689,1
0.422697,,180.666748,,,1
0.422698,179.320326,183.278766,3.958441,,1
0.422698,,,,-143.239450,1
0.422700,,183.278766,,,1
0.422701,179.081809,176.847514,-2.234295,,1
0.422701,,,,-171.884401,1
0.422703,,176.847514,,,1
0.453004,179.942145,180.316288,0.374143,,1
0.453004,,,,-12.673240,1
0.453013,,180.316288,,,1
0.453015,,,,3.302371,1
0.453015,180.016390,179.975968,-0.040422,,1
0.453018,,179.975968,,,1
0.453020,180.236189,180.666748,0.430559,,1
0.453020,,,,46.037388,1
0.453023,,180.666748,,,1
0.453024,180.752683,183.278766,2.526083,,1
0.453024,,,,143.237612,1
0.453027,,183.278766,,,1
0.453028,180.800712,176.847514,-3.953198,,1
0.453028,,,,171.887341,1
0.453030,,176.847514,,,1
0.481321,180.068872,180.316288,0.247416,,1
0.481321,,,,12.672964,1
0.481335,,180.316288,,,1
0.481340,179.983366,179.975968,-0.007398,,1
0.481340,,,,-3.302363,1
0.481347,,179.975968,,,1
0.481351,179.775809,180.666748,0.890939,,1
0.481351,,,,-46.037696,1
0.481357,,180.666748,,,1
0.481361,179.320270,183.278766,3.958496,,1
0.481361,,,,-143.239450,1
0.481367,,183.278766,,,1
0.481370,179.081897,176.847514,-2.234383,,1
0.481370,,,,-171.884405,1
0.481376,,176.847514,,,1
0.511888,179.942137,180.316288,0.374151,,1
0.511888,,,,-12.673241,1
0.511918,,180.316288,,,1
0.511921,,,,3.302375,1
0.511921,180.016390,179.975968,-0.040422,,1
0.511923,,179.975968,,,1
0.511926,,,,46.037396,1
0.511926,180.236180,180.666748,0.430568,,1
0.511928,,180.666748,,,1
0.511931,180.752628,183.278766,2.526138,,1
0.511931,,,,143.237615,1
0.511936,,183.278766,,,1
0.511937,180.800800,176.847514,-3.953286,,1
0.511937,,,,171.887341,1
0.511941,,176.847514,,,1
0.542238,180.068864,180.316288,0.247424,,1
0.542238,,,,12.672966,1
0.542251,,180.316288,,,1
0.542252,179.983367,179.975968,-0.007399,,1
0.542252,,,,-3.302367,1
0.542254,,179.975968,,,1
0.542256,179.775800,180.666748,0.890949,,1
0.542256,,,,-46.037703,1
0.542258,,180.666748,,,1
0.542261,,,,-143.239450,1
0.542261,179.320215,183.278766,3.958551,,1
0.542263,,183.278766,,,1
0.542264,179.081985,176.847514,-2.234471,,1
0.542264,,,,-171.884410,1
0.542266,,176.847514,,,1
0.572677,179.942129,180.316288,0.374159,,1
0.572677,,,,-12.673242,1
0.572689,,180.316288,,,1
0.572691,180.016391,179.975968,-0.040423,,1
0.572691,,,,3.302378,1
0.572693,,179.975968,,,1
0.572694,180.236171,180.666748,0.430578,,1
0.572694,,,,46.037403,1
0.572696,,180.666748,,,1
0.572699,180.752573,183.278766,2.526193,,1
0.572699,,,,143.237617,1
0.572702,,183.278766,,,1
0.572703,180.800888,176.847514,-3.953374,,1
0.572703,,,,171.887341,1
0.572705,,176.847514,,,1
0.603105,180.068856,180.316288,0.247432,,1
0.603105,,,,12.672967,1
0.603117,,180.316288,,,1
0.603119,179.983367,179.975968,-0.007399,,1
0.603119,,,,-3.302370,1
0.603122,,179.975968,,,1
0.603123,179.775791,180.666748,0.890958,,1
0.603123,,,,-46.037709,1
0.603125,,180.666748,,,1
0.603127,,,,-143.239450,1
0.603127,179.320160,183.278766,3.958606,,1
0.603130,,183.278766,,,1
0.603131,179.082073,176.847514,-2.234559,,1
0.603131,,,,-171.884414,1
0.603133,,176.847514,,,1
0.633548,179.942120,180.316288,0.374168,,1
0.633548,,,,-12.673243,1
0.633564,,180.316288,,,1
0.633567,180.016391,179.975968,-0.040423,,1
0.633567,,,,3.302381,1
0.633570,,179.975968,,,1
0.633571,180.236162,180.666748,0.430587,,1
0.633571,,,,46.037410,1
0.633573,,180.666748,,,1
0.633576,180.752518,183.278766,2.526248,,1
0.633576,,,,143.237620,1
0.633579,,183.278766,,,1
0.633581,,,,171.887341,1
0.633581,180.800976,176.847514,-3.953462,,1
0.633583,,176.847514,,,1
0.663908,180.068847,180.316288,0.247441,,1
0.663908,,,,12.672968,1
0.663928,,180.316288,,,1
0.663931,179.983367,179.975968,-0.007399,,1
0.663931,,,,-3.302373,1
0.663934,,179.975968,,,1
0.663936,179.775782,180.666748,0.890967,,1
0.663936,,,,-46.037716,1
0.663938,,180.666748,,,1
0.663939,179.320105,183.278766,3.958661,,1
0.663939,,,,-143.239450,1
0.663943,,183.278766,,,1
0.663944,179.082161,176.847514,-2.234647,,1
0.663944,,,,-171.884419,1
0.663946,,176.847514,,,1
0.694234,179.942112,180.316288,0.374176,,1
0.694234,,,,-12.673244,1
0.694248,,180.316288,,,1
0.694252,180.016391,179.975968,-0.040423,,1
0.694252,,,,3.302385,1
0.694256,,179.975968,,,1
0.694259,180.236153,180.666748,0.430596,,1
0.694259,,,,46.037417,1
0.694262,,180.666748,,,1
0.694265,180.752463,183.278766,2.526303,,1
0.694265,,,,143.237623,1
0.694270,,183.278766,,,1
0.694272,,,,171.887341,1
0.694272,180.801064,176.847514,-3.953549,,1
0.694276,,176.847514,,,1
