# DavinciArm telemetry export
# Points=980
# Columns=t_rel_s,arm_angle_deg,ref_angle_deg,tracking_error_deg,valid
# Decimals=6
# SortedByTime=true
#
t_rel_s,arm_angle_deg,ref_angle_deg,tracking_error_deg,valid
0.000000,170.939878,170.939878,0.000000,1
0.000016,,170.939878,,1
0.000017,180.013735,180.013734,-0.000001,1
0.000020,,180.013734,,1
0.000022,180.193420,180.193418,-0.000002,1
0.000024,,180.193418,,1
0.000026,180.528777,180.528775,-0.000002,1
0.000028,,180.528775,,1
0.000029,180.994553,180.994555,0.000002,1
0.000032,,180.994555,,1
0.030246,171.066686,170.939878,-0.126808,1
0.030256,,170.939878,,1
0.030258,179.980241,180.013734,0.033492,1
0.030260,,180.013734,,1
0.030262,179.732055,180.193418,0.461363,1
0.030263,,180.193418,,1
0.030265,179.096382,180.528775,1.432392,1
0.030267,,180.528775,,1
0.030268,179.275679,180.994555,1.718876,1
0.030270,,180.994555,,1
0.060403,170.939878,170.939878,0.000000,1
0.060418,,170.939878,,1
0.060419,180.013735,180.013734,-0.000001,1
0.060422,,180.013734,,1
0.060423,180.193420,180.193418,-0.000002,1
0.060425,,180.193418,,1
0.060428,180.528777,180.528775,-0.000002,1
0.060430,,180.528775,,1
0.060431,180.994553,180.994555,0.000002,1
0.060433,,180.994555,,1
0.090674,171.066686,170.939878,-0.126808,1
0.090699,,170.939878,,1
0.090702,179.980241,180.013734,0.033492,1
0.090705,,180.013734,,1
0.090707,179.732055,180.193418,0.461363,1
0.090709,,180.193418,,1
0.090712,179.096382,180.528775,1.432392,1
0.090716,,180.528775,,1
0.090717,179.275679,180.994555,1.718876,1
0.090719,,180.994555,,1
0.120904,170.939878,170.939878,0.000000,1
0.120926,,170.939878,,1
0.120930,180.013735,180.013734,-0.000001,1
0.120934,,180.013734,,1
0.120937,180.193420,180.193418,-0.000002,1
0.120940,,180.193418,,1
0.120943,180.528777,180.528775,-0.000002,1
0.120948,,180.528775,,1
0.120952,180.994553,180.994555,0.000002,1
0.120957,,180.994555,,1
0.149299,171.066686,170.939878,-0.126808,1
0.149320,,170.939878,,1
0.149323,179.980241,180.013734,0.033492,1
0.149327,,180.013734,,1
0.149330,179.732055,180.193418,0.461363,1
0.149333,,180.193418,,1
0.149336,179.096382,180.528775,1.432392,1
0.149340,,180.528775,,1
0.149343,179.275679,180.994555,1.718876,1
0.149347,,180.994555,,1
0.179548,170.939878,170.939878,0.000000,1
0.179558,,170.939878,,1
0.179560,180.013735,180.013734,-0.000001,1
0.179562,,180.013734,,1
0.179564,180.193420,180.193418,-0.000002,1
0.179565,,180.193418,,1
0.179567,180.528777,180.528775,-0.000002,1
0.179577,,180.528775,,1
0.179578,180.994553,180.994555,0.000002,1
0.179580,,180.994555,,1
0.209875,171.066686,170.939878,-0.126808,1
0.209896,,170.939878,,1
0.209902,179.980241,180.013734,0.033492,1
0.209906,,180.013734,,1
0.209908,179.732055,180.193418,0.461363,1
0.209911,,180.193418,,1
0.209915,179.096382,180.528775,1.432392,1
0.209921,,180.528775,,1
0.209923,179.275679,180.994555,1.718876,1
0.209927,,180.994555,,1
0.240061,170.939878,170.939878,0.000000,1
0.240086,,170.939878,,1
0.240090,180.013735,180.013734,-0.000001,1
0.240094,,180.013734,,1
0.240096,180.193420,180.193418,-0.000002,1
0.240098,,180.193418,,1
0.240101,180.528777,180.528775,-0.000002,1
0.240105,,180.528775,,1
0.240107,180.994553,180.994555,0.000002,1
0.240111,,180.994555,,1
0.270232,171.066686,170.939878,-0.126808,1
0.270253,,170.939878,,1
0.270256,179.980241,180.013734,0.033492,1
0.270261,,180.013734,,1
0.270264,179.732055,180.193418,0.461363,1
0.270268,,180.193418,,1
0.270271,179.096382,180.528775,1.432392,1
0.270276,,180.528775,,1
0.270280,179.275679,180.994555,1.718876,1
0.270284,,180.994555,,1
0.300476,170.939878,170.939878,0.000000,1
0.300495,,170.939878,,1
0.300498,180.013735,180.013734,-0.000001,1
0.300503,,180.013734,,1
0.300506,180.193420,180.193418,-0.000003,1
0.300509,,180.193418,,1
0.300512,180.528777,180.528775,-0.000002,1
0.300517,,180.528775,,1
0.300520,180.994553,180.994555,0.000002,1
0.300523,,180.994555,,1
0.330739,171.066686,170.939878,-0.126808,1
0.330749,,170.939878,,1
0.330751,179.980241,180.013734,0.033492,1
0.330753,,180.013734,,1
0.330754,179.732055,180.193418,0.461363,1
0.330756,,180.193418,,1
0.330758,179.096382,180.528775,1.432392,1
0.330760,,180.528775,,1
0.330762,179.275679,180.994555,1.718876,1
0.330764,,180.994555,,1
0.360990,170.939878,170.939878,0.000000,1
0.361010,,170.939878,,1
0.361011,180.013735,180.013734,-0.000001,1
0.361015,,180.013734,,1
0.361016,180.193420,180.193418,-0.000003,1
0.361018,,180.193418,,1
0.361020,180.528777,180.528775,-0.000002,1
0.361022,,180.528775,,1
0.361025,180.994553,180.994555,0.000002,1
0.361028,,180.994555,,1
0.391188,171.066686,170.939878,-0.126808,1
0.391203,,170.939878,,1
0.391205,179.980241,180.013734,0.033492,1
0.391208,,180.013734,,1
